ticker,n_days,cum_ON,cum_ID,sum_logON,sum_logID,diff_log,ann_ON_pct,ann_ID_pct,ann_diff_log,mean_ON_bps,mean_ID_bps,vol_ON,vol_ID,vol_close2close,name,sector,sub_industry,market_cap,beta,abs_diff
CMS,2626,0.6745082456782887,0.676921157464659,0.5155195375029354,0.5169594677016849,-0.0014399301987494395,5.0715152024074825,5.086035056760724,-0.00013818065882896372,2.1384339300901125,2.6558144721533803,0.09335637092388618,0.18591494134317235,0.20539674697179644,CMS Energy,Utilities,Multi-Utilities,22554222592,0.352,0.0014399301987494395
STE,2626,0.7748454891299243,0.7712985907550709,0.5737133707609419,0.5717129446768603,0.0020004260840815746,5.65992649419445,5.639645140103566,0.00019196777349145345,2.523742018161982,3.056576897190998,0.1305889775928883,0.2104312927338006,0.24964098011966787,Steris,Health Care,Health Care Equipment,20301408256,0.923,0.0020004260840815746
DPZ,2626,0.817937980990372,0.8267566929030512,0.5977028813067138,0.6025420955133535,-0.004839214206639686,5.903448103154785,5.952639778116139,-0.0004643876542548366,2.8854471668838273,3.5571267417070684,0.17628466854698877,0.25249288028228467,0.3004961734714268,Domino's,Consumer Discretionary,Restaurants,10793809920,0.971,0.004839214206639686
VLTO,675,0.04531791047961049,0.03968662563777813,0.04432105970573566,0.03891934624469953,0.005401713461036128,1.6684180939882844,1.4635961220988163,0.0020166396921201543,0.9265913866746686,1.4689891396451213,0.11666122918402588,0.21221127796291858,0.22632860854296552,Veralto,Industrials,Environmental & Facilities Services,20674545664,0.848,0.005401713461036128
RJF,2626,1.1900737844524323,1.2120133018953534,0.7839352347916536,0.7939030971570857,-0.009967862365432123,7.813114812083501,7.916292828392053,-0.0009565503869340803,3.66562274351557,4.285422284675442,0.18398106983310775,0.25231049118672777,0.31190803630355507,Raymond James Financial,Financials,Investment Banking & Brokerage,30518685696,0.951,0.009967862365432123
APO,2626,2.7451007904118043,2.690389046153992,1.3204485299346103,1.3057318850568713,0.014716644877738938,13.509322778081442,13.349131255393305,0.001412259904489799,5.871853467597002,6.944348072641723,0.20511587097185435,0.31537007390312094,0.37772284331335715,Apollo Global Management,Financials,Asset Management & Custody Banks,80084049920,1.488,0.014716644877738938
JBHT,2626,1.0952026242062165,1.1264804280534055,0.739650266695411,0.7544682318382083,-0.014817965142797318,7.355909511778414,7.508676374442888,-0.0014219829459196206,3.353760697041329,4.127456600781796,0.16523547583486314,0.25155539803123517,0.2961338844832993,J.B. Hunt,Industrials,Cargo Ground Transportation,26989844480,1.305,0.014817965142797318
WM,2626,1.2223244768158157,1.2570204522281876,0.798553709726251,0.8140455594816204,-0.015491849755369436,7.9644654089825,8.12509028162229,-0.001486651233188537,3.291673614968003,3.6780767812064026,0.11111938539548964,0.17072571495458824,0.19347776127026237,Waste Management,Industrials,Environmental & Facilities Services,87473233920,0.457,0.015491849755369436
AZO,2626,1.0456105600632482,1.0863996579345416,0.7156963073120041,0.7354399288000979,-0.019743621488093832,7.1094134291565565,7.312542350737217,-0.0018946658853768643,3.0966831772825287,3.853175595466011,0.13629934014659584,0.22947342856108366,0.2626051077268505,AutoZone,Consumer Discretionary,Automotive Retail,51318861824,0.349,0.019743621488093832
TXN,2626,1.8050030594923419,1.7189788482031427,1.0314046297021724,1.0002563863641512,0.031148243338021242,10.404105964936942,10.074590583676752,0.002989092658484902,4.6549869262314685,4.921642383765716,0.19078109281315436,0.2374530433128259,0.3084521639790162,Texas Instruments,Information Technology,Semiconductors,283334639616,1.309,0.031148243338021242
